,text,n_tokens
61," 69533799 Networking+ +Firewall. Networking - Firewall - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskSecurity and NetworkingNetworking - FirewallShareNetworking - FirewallDylan NighOwned by Dylan NighApr 05, 2023Loading data...Security is an important part of an Internal Network that must be discussed with a HIPAA certified Network Administrator. It is your responsibility to ensure your network is secure. Due to the unique needs of each office, MacPractice support cannot assist with configuring your office's network. This information is only a recommendation. Your network technician will need this information to configure and secure the current Internal Network to function with MacPractice.To configure your Internal Network to function with MacPractice, start by blocking access from the internet by enabling the router firewall. Block all traffic, then allow incoming traffic selectively to only services required by the office. For example, if an email server is used, open Port 25 for mail.The following tables indicate the network services MacPractice may use. If you do not use a listed ability, the service will not need to be enabled.Firewall IncomingAll incoming services refer to TCP ports. Block all incoming services and enable access to only required services. HIPAA compliancy restricts sending patient data over the internet using unencrypted services.ServiceEncryptedPortFirewallMySQLNo3306Blocked at firewall (use VPN for access)MacPractice Message ServerNo1234Blocked at firewall (use VPN for access)Unencrypted Web ServiceNo80Open only if outside access is required*Encrypted Web ServiceYes443Open only if outside access is required*Server Management AppNo26700Blocked at firewall (use VPN for access)MPXServerNo41853Port 41853 needs to be only used for the MPXServer process, otherwise issues can occur in several areas of MacPracticeIf the MacPractice iPhone/iPad interface or the MacPractice Patient Web interface is used from outside the office,enable access to web services on the firewall and forward these ports to the server's internal IP address.Firewall OutgoingMany Network Administrators will do nothing to block outgoing access. If outgoing access must be enabled, the following services may be enabled for MacPractice to function properly.",482
62," 86868063 Bridges+ +Configuring+MP+Preferences. Bridges - Configuring MP Preferences - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskDigital Radiography & ImagingBridges - Configuring MP PreferencesBridges - Configuring MP PreferencesDylan NighOwned by Dylan NighMay 02, 20231 min readLoading data...In MacPractice, go to Preferences > Digital Rad. Bridges, and select the bridge you wish to configure. Then, click the Choose button in the bottom right corner to set your bridge import path.Select your bridge import folder in the window that will open. The default path is /Users/NAME/Library/Application Support/MacPracticeClient/Databases/macpractice/WindowsBridge.Open Open Some bridges will also have a ""Settings"" section where you can select the Application Path. Type the file path of the Windows DR application. In most cases this will be something like ""C:\DEXIS"" or ""C:Program Files\DEXIS"". If you are using Windows 7 in 64 bit mode, it may be ""C:\Program Files (x86)"" instead of simply ""Program Files"". {""serverDuration"": 20, ""requestCorrelationId"": ""360c6d911b2f450fabfa573764cd4f3b""}",281
63," 74874937. eClaims - Secondary Electronic Claims - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskeClaims & ERAseClaims - Secondary Electronic ClaimseClaims - Secondary Electronic ClaimsDylan NighOwned by Dylan NighLast updated: Sept 19, 20234 min readLoading data...This documentation is to help correctly create and send secondary electronic claims.Once the primary payer’s payment and EOB for a patient are received, a Secondary Electronic Claim can be created for the patient. Not all payers will accept secondary eClaims. If there are any questions about which payers will accept secondary eClaims, please contact the payers directly. MacPractice does not have this information.Similar to sending a copy of an EOB with a secondary paper claim, EOB information is required on a secondary eClaim. The EOB Columns need to be turned on and filled in while entering in the payment for the primary claim in the Primary Payment Window. Check the box next to Use EOB Columns.Open After checking Use EOB Columns some additional columns will be added to the payment window for Deductible, Co-Insurance, Copay, Disallowed, Reason Code and ICN. The payment line will turn red and will not save until the EOB columns have been properly filled out.Open  Disallowed AmountThe Disallowed amount is calculated from the total Fee Amount minus the Payment. Entering information in the Deductible, Co-Insurance and Copay columns will reduce the amount in the Disallowed column. If the Disallowed amount is zero, the insurance payment can be saved. If there is any remaining Disallowed Amount, it must be accompanied by an appropriate Reason Code. The Reason Code identifies the reason why the primary Payer did not pay the entire amount, aside from the Deductible, Co-Insurance and Copay. The reason code can be found on the primary payer's EOB.The Disallowed amount is often confused with a write-off. The Disallowed amount is the amount that was not paid after subtracting all payments (patient and insurance) and any insurance deductions. Often times the write-off and the Disallowed amount will be the same amount, but they are separate items.",495
64,"See the formulas for calculating both Disallowed and write-off below:[Fee] - [Paid] - [EOB Columns ""Deductible,"" ""CoInsurance"" and “Copay”] = [Disallowed amount][Fee] - [Allowed] = [Write Off]Some payers use their own set of reason codes to disallow payment, however electronic claims require all reason codes to be sent in a HIPAA-mandated format. A list of HIPAA approved reason codes can be found in the Internet Ability in MacPractice by clicking on Claims Adjustment Reason Codes in the sidebar or by visiting the WPC website. If the payers are not using the HIPAA standard list, the payer specific list will need to be acquired.Each Reason Code will also need to be accompanied by a Group Code. Group Codes are the two digit alpha-characters in front of the Reason Code.With the EOB columns turned on, the payer’s Internal Control Number or ICN can be entered in the last column.Explanation of Claim Adjustment Group CodesCO - Contractual Obligations: This group code should be used when a contractual agreement between the payer and payee, or a regulatory requirement, resulted in an adjustment. Generally, these adjustments are considered a write-off for the provider and are not billed to the patient.CR - Corrections and Reversals: This group code should be used for correcting a prior claim. It applies when there is a change to a previously adjudicated claim. When correcting a prior claim, CLP02 (claim status code) needs to be 22. See ASC X12N Health Care Claim Payment/Advice Implementation Guide (835) section 2.2.8 for complete information about corrections and reversals.OA - Other Adjustments: This group code should be used when no other group code applies to the adjustment.PI - Payer Initiated Reductions: This group code should be used when, in the opinion of the payer, the adjustment is not the responsibility of the patient, but there is no supporting contract between the provider and the payer, for example a medical review or professional review organization adjustments.PR - Patient Responsibility: This group should be used when the adjustments represent an amount that should be billed to the patient or insured. This group would typically be used for deductible and copay adjustments.EOB columns will need to be filled out for each procedure being submitted on the eClaim.",500
65," 74219533 eClaims+ERAs. SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskKnowledge BaseeClaims & ERAseClaims & ERAsDylan NighOwned by Dylan NighApr 12, 20231 min readLoading data... {""serverDuration"": 19, ""requestCorrelationId"": ""f06fc8e0cd4b4f47b651e226609c2317""}",96
66," 69500996 Security+and+Networking. Security and Networking - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskKnowledge BaseSecurity and NetworkingSecurity and NetworkingDylan NighOwned by Dylan NighApr 05, 20231 min readLoading data... {""serverDuration"": 18, ""requestCorrelationId"": ""915194c2e5cc45c0857fcf0dda01b8a2""}",104
67," 69894266. Networking - IP Addresses - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskSecurity and NetworkingNetworking - IP AddressesNetworking - IP AddressesDylan NighOwned by Dylan NighLast updated: Nov 03, 20234 min readLoading data...This article covers what IP Addresses are, and how they relate to MacPractice and other services. Understanding what an IP address is will be very important when considering how to connect a MacPractice client to a MacPractice server.1 Explanation2 Static and Dynamic IP Addresses3 Dynamic DNS ConfigurationExplanationAn IP address identifies a computer on a network. You can consider an IP address to be similar to the street address of a business or a home in real-world terms.IP Addresses are made up of four numbers separated by periods. 255.255.255.255 is a fake example of an External IP address. There are two types of IP addresses, Internal (Local) and External (Global or Real-World).An Internal IP address identifies a computer on an Internal Network, whereas an External IP identifies a computer across the Internet. Most computers on an Internal Network will have individual Internal IP addresses, but the Internal Network as a whole will share one External IP address.To continue the analogy of the street address, the street address of an apartment complex is like an External IP address, indicating where in the world the network resides. An Internal IP address would be like the apartment number within the larger apartment complex, telling you where in the ""building"" your device resides.Internal IP Addresses usually lead with the same digits if they are on the same network. One common example is 192.168.x.x. These leading digits may change with the router or network depending on a variety of factors.When connecting a MacPractice Client to a MacPractice Server, you need the Server's Internal IP address so the client knows where on the network to look for the device.Static and Dynamic IP AddressesIP Addresses can be either static or dynamic.A Dynamic Internal IP address is typically automatically assigned by your router or switch. Generally, dynamically assigned IP addresses of any machine on the Internal Network are subject to change when the router or network is reset, the operating system is updated, after a power outage, and so on.An Internal Static IP address allows a device to maintain the same IP address on the network at all times.",488
68,"A Static Internal IP address is preferred for the MacPractice server as it will prevent the need to reset the server IP address in the client login settings by ensuring that this address does not change on the server. If you choose to, you can also assign Static Internal IP addresses to the other devices on your network.Your office's External IP address is assigned by your Internet Service Provider (ISP). Unless your office has requested and paid for a Static External IP address through your ISP, this is most likely a Dynamic External IP address subject to change at any time. MacPractice abilities such as the iPad and iPhone interfaces and Patient Portal require Static External IP addresses to function reliably. Use of these services may require you to contact your ISP to have a Static External IP address assigned to your office.Contact MacPractice Support to learn more and to ascertain whether you would need this sort of configuration for your office. Keep in mind that MacPractice Support is not able to configure your network, as this would require the aid of a network specialist that is familiar with the specific needs of your office.  Dynamic DNS ConfigurationMacPractice recommends using a static IP address with Patient Portal. If you choose not to use a static IP address, you will need to set up a dynamic DNS system that uses update software to keep your hostname's IP address up-to-date. A static IP purchased through your ISP will never change, whereas a dynamic DNS system periodically checks for a change to a dynamic IP address, then maps the new address to the hostname established with the dynamic DNS provider.Dynamic DNS systems are subject to outages of the DNS provider, so you must familiarize yourself with the reporting procedures, scheduled outages, and terms of a dynamic DNS provider before selecting to use their service.MacPractice cannot configure or support a dynamic DNS system, nor can we recommend a dynamic DNS provider. However, the basic steps for setting up such a system are similar amongst most dynamic DNS system configurations. If you are not comfortable with the instructions below, consult a networking professional or your dynamic DNS provider for assistance.First, create an account and hostname with a dynamic DNS provider of your choice.Next, install the provided dynamic DNS update software. This may be done on the MacPractice server. Consult the DNS provider for formal configuration instructions and options.",457
69," 89423924 Creating+Worker%27s+Comp+Paper+Claims+in+MacPractice. Creating Worker's Comp Paper Claims in MacPractice - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskLedger & ClaimsCreating Worker's Comp Paper Claims in MacPracticeCreating Worker's Comp Paper Claims in MacPracticeDylan NighOwned by Dylan NighLast updated: Oct 05, 20233 min readLoading data...This article seeks to give some basic assistance on how to create Worker's Compensation Paper Claims in MacPractice. If you utilize eClaims, you'll want to refer to the eClaims article about Worker's Comp Claims instead.Warning: While we've done our best to provide a general idea of what is needed, each insurance company has different requirements for how worker's comp claims are handled. Regardless of any instructions given here, you will have to work with the payer to determine how they want worker's comp claims to be submitted.MacPractice Support is available to assist with ensuring particular information is included or formatted properly, but we cannot assist with determining what is required on a particular claim.Insurance ReferenceWhen setting up worker's comp insurance companies or specific plans, you will want to make sure the plan type is set to 'Worker's Compensation'. This will ensure that the Worker's Comp claims operate as expected; filling in the Employer's name instead of the Primary's name as the subscriber. Open Patient AbilityWhen filling out information on patient and primary tabs, this information can vary based on the payer. MOST companies would like to see the Employer listed on the claim as the subscriber (for example, in box 4 of the CMS 1500 form). The patient would then be listed as the employee as it is in this example on box 2. Check with the insurance carrier for any specific requirements.Open The plan type is what controls which name is used as patient and subscriber. When using the Worker's Comp plan type, you may leave the account's primary guarantor in the Primary tab. Some offices may choose to enter the Employer as the primary person; however, it is not required for the claim information to print correctly. On the Primary/Secondary Tab, enter the employer and the employer's Worker's Compensation Insurance below.",472
70," 78938155. SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskGeneral NavigationGlossaryShareGlossaryDylan NighOwned by Dylan NighLast updated: Sept 29, 2023Loading data...Many of these definitions originate from Apple's online glossary, however some of the terms may have been changed slightly to be more specific to MacPractice, and non-relevant terms have been removed. You may visit Apple's site for a complete list. Each term will list any associated ability in parenthesis. You can quickly search the glossary by using the command+F function.0-9270 (n.) An EDI Health Care Eligibility/Benefit Inquiry that is used to inquire about the health care benefits and eligibility associated with a subscriber or dependent. See also eligibility.271 (n.) An EDI Health Care Eligibility/Benefit Response that is used to respond to a request inquiry about the health care benefits and eligibility associated with a subscriber or dependent.276 (n.) An EDI Health Care Claim Status Request. This transaction set can be used by a provider, recipient of health care products or services, or their authorized agent to request the status of a health care claim. See also Claim Status Inquiry.277 (n.) An EDI Health Care Claim Status Notification. This transaction set can be used by a health care payer or authorized agent to notify a provider, recipient or authorized agent regarding the status of a health care claim or encounter, or to request additional information from the provider regarding a health care claim or encounter.835 (n.) An EDI Health Care Claim Payment/Advice Transaction Set that can be used to make a payment, send an Explanation of Benefits (EOB) remittance advice, or make a payment and send an EOB remittance advice only from a health insurer to a health care provider either directly or via a financial institution. See also ERA.837 (n.) EDI Health Care Claim Transaction Set that is used to submit healthcare claim billing information, encounter information, or both, except for retail pharmacy claims. It can be sent from providers of health care services to payers, either directly or via intermediary billers and claims clearinghouses. See also eClaim.4010 (n.) EDI Health Care Claim Transaction version.",480
71,"See also eClaim.5010 (n.) EDI Health Care Claim Transaction version that started being used as of January 1, 2012. Currently some payers require the new format, and some do not. See also eClaim.AAbility (n.) An ability in MacPractice performs a specific function, contains a specific group of records or is a stand-alone tool for the management of data. An ability allows the user to create new records or manipulate existing records in the database, depending on its function. Users can switch to different abilities using keyboard shortcuts, the toolbar, or the View menu. Each ability typically performs a very specific task. Examples of abilities include the Patients ability, the Schedule ability, the Notes ability, and so on. See also Toolbar.Abnormal (n., adj., EMR/EDR, Labs) (1) In the EMR/EDR ability, an abnormal value is a user-defined pop-up menu value that can be a specified color. (2) In Orders, laboratory results can be flagged as either normal or abnormal.Abrasion (n., Restorative Charting) The loss of tooth structure by mechanical forces from a foreign element.Abscess (ABSC) An abscess is a localized collection of suppuration or purulent exudate (pus). An Abscess is noted as True or False (1 or 0) with a Keyboard Shortcut. It is a Tooth Notation Point.Accepted (adj., claims) A claim status indicating the payer has accepted the claim for processing. Claim statuses can be viewed in the ledger under the Status column. Typically only eClaims will have an accepted status, however a paper claim can also be manually marked as accepted. eClaims that have an accepted status will appear in the Accepted eClaims bin.Accepts Assignment (trans. v., claims) Accepts assignment shows that you are not ""in network"" but you accept an insurance company's allowed amount. For Medicare, accepts assignment means that the provider agrees to Medicare's allowed amount for the procedure and cannot charge the patient more than the contracted allowed amount. The provider needs to either use Medicare's fee schedule or needs to write off the difference between the office charge for the fee and Medicare's allowed amount.",465
72,"If a claim has accepts assignment checked when a user creates a claim, MacPractice will assume the provider is expecting payment for services and the balance will be in the insurance portion. Compare to Participate.Access (trans. v.) The action or process of obtaining or retrieving information stored in a computer's memory.Access Point (n., networking) A hardware device or software used in conjunction with a computer that serves as a communication hub to wireless clients and provides the same infrastructure as a network bridge to a wired LAN. Also called a wireless access point. Access points that use Wi-Fi are also called base stations. See also AirPort.Account (n.) (1) A record or statement of financial expenditure or receipts relating to a particular period or purpose. An account in MacPractice is a single patient's total financial information or a group of patients who share financial information. Compare to Patient. (2) The Account tab on an account in MacPractice.Account Alert (n.) A user-defined alert that can be associated to an account. Account alerts are added from the Account tab in the Patient ability, and are displayed with a green icon when the account is selected. Account alerts are typically financial in nature, as they apply to the entire account. Compare to Patient Alert.Account Balance (n., accounting) The current total balance of an entire account. An account balance may differ from an incident balance if there are multiple incidents or patients in the account, or if there are account-level transactions, such as finance charges.Account Ledger (n., Ledger) A node in the ledger sidebar that contains a summary of all transactions in an account. The account ledger can be referenced to view account-level transactions, such as finance charges. See also Ledger. Compare to Incident.Account-Level (adj.) Used to describe transactions that are not associated to an individual patient or incident, but rather to the account as a whole, such as a finance charge.Accounts Receivable (n., Reports) A report that displays all outstanding accounts and their aging information in MacPractice and contains an all-time cumulative calculation of the total accounts receivable since the software has been used in the office. Sometimes abbreviated AR or A/R, the report can be found in the Reports ability, under the Accounting/Financial node.",474
73,"MacPractice's Accounts Receivable is real-time, meaning no additional action is needed to ""close out"" or finalize the report.Account Statement (n.) A statement for services for the entire account. Account statements will always display the total balance owed for all patients on the account. The Statement Manager prints account statements.ACH (n., accounting) Abbreviation for Automated Clearinghouse. The clearing and settlement system used by U.S. commercial banks and other institutions. Most electronic funds transfers, such as automatic deposits by a payer or patient, are handled by an ACH.Activate (trans. v.) To make a nonactive window active by clicking anywhere inside it.Active (adj.) Currently being used. Active items are usually on top of other items and may appear in a different color. Compare to Inactive.Active Window (n.) The frontmost window on the screen; the window where the next action will take place. The active window's title bar is highlighted.Activity (n.) The combined actions of database entries of a particular user or users including additions, updates and deletions.Activity Monitor (n.) A utility for observing and managing computer process in Mac OS X. Activity Monitor allows a user to view memory statistics for different applications and programs, and also allows users to manage, quit and sample processes from them.ADA (n.) Abbreviation for the American Dental Association. www.ada.orgADA 2006 (n., claims) The 2006 version of the American dental paper insurance claim form.ADA 2012 (n., claims) The 2012 version of the American dental paper insurance claim form.ADA Code, ADA Codes (n., claims) See CDT.Adjustment (n., Ledger, Digital Radiography/Imaging) (1) In a patient's ledger, an adjustment allows a user to impact a balance without affecting deposits or production. (2) In Digital Radiography/Imaging, an adjustment is a modification that can be applied to a digital image. Image adjustments may affect the quality of the image, change its size or orientation, or they may add graphical annotations to the image.Administrator (n.) A person who has administrative authority for networks, servers, databases, or other information technology assets.",470
74,"Administrators may include but are not limited to office managers, IT professionals and providers.Administrator Account (n.) In regards to Mac OS X, an administrator is a user that can create other users, including other administrators, install software in the Applications and Library folders, and change computer settings.Admitted Date, Admission Date (n., claims) The date a patient was admitted to a hospital or clinic for treatment. A claim with a facility may require an admission date, depending on the place of service and the requirements of the payer. See also Facility, POS. Compare to Discharge Date.Advanced View (n., Schedule) In the Appointment Detail window, users can access all information in the selected patient's record by opening the Advanced View. The Advanced View can be accessed by expanding the arrow underneath the patient photo area in the Appointment Detail window.AFP (n., networking) Abbreviation for Apple Filing Protocol. A client/server protocol used by Apple file service on Macintosh-compatible computers to share files and network services. AFP uses TCP/IP and other protocols to communicate between computers on a network.Aging (n., adj., accounting) The process by which balances age, expire, or become overdue. Aging analyses give a snapshot of how long a balance has been outstanding. Aging information can be accessed from each account, from the Statement Manager, or from the Accounts Receivable report.AirPort (n., networking) The name for Apple's wireless networking technology devices and software. See also Wi-Fi.Alert (n., adj.) Refers generically to a signal, either visual (a dialog) or auditory (a beep), that calls the user's attention to an unusual situation. Visual alerts provide messages about error conditions or warn users about potentially hazardous situations or actions. Compare to Patient Alert andAccount Alert.Alias (n.) An alternative name or label that refers to a file, command, address, or other item, and can be used to locate or access it. In MacPractice aliases can be entered for fees in the fee schedule, giving additional criteria in which to search for a procedure code, or another word that can be entered instead of the procedure code.Allergy (n.) A damaging immune response by the body to a substance. Allergies can be associated to patients in MacPractice, giving the user an alert when the patient is selected.",488
75,"An allergy alert will also appear in the Rx and eRx abilities.Allergy Element (n., EMR/EDR) An interactive EMR/EDR element that can be placed on a form that allows users to update and add allergy information to a patient.Allowed (n., claims) The amount a payer deems appropriate to charge for a particular service or product. Participating providers are required to write off the difference between the office fee and the payer's allowed amount.Allscripts (n.) A free web-based electronic prescribing service. MacPractice no longer supports or integrates with Allscripts or eRx in any capacity, however we can export patient demographic information out of MacPractice using an export preset. MacPractice will only support the creation of the export file. www.allscripts.comAlphanumeric (adj.) Consisting of or using both letters and numerals.AMA (n.) Abbreviation for the American Medical Association. www.ama-assn.orgaMac (n.) A Mac-based digital imaging software. MacPractice can bridge to aMac using a Digital Radiography bridge.www.amac-usa.comAmalgam (n., charting) A silver-colored dental filling made of a mixture of silver, tin, mercury, and some other trace elements like copper.American Solutions for Business (n.) A company that provides commercial printing services, forms, labels and envelopes. Users can purchase claim and statement forms from American Solutions for Business, among other supplies. https://home.americanbus.comAnalog (adj.) Relating to or using signals or information represented by a continuously variable physical quantity such as spatial position or voltage. Typically anything that is not digital is considered analog. Compare to Digital.ANC (n., eClaims) A type of ancillary eClaims report that contains non-claim-specific information. ANC reports need to be carefully checked, as they are the only type of eClaim report that will not move a claim to either the Rejected or Accepted bin. ANC reports do not give information on single claims, but rather for a group of claims. Compare to INS and REC.Ancillary (adj.) Providing additional or subsidiary information.Annotate, Annotation (n., trans.",465
76,"v., Digital Radiography/Imaging, Restorative Charting) To add text or graphics to an image.Annual Coverage (n., Insurance Estimating) The maximum amount of insurance benefits that can be used by a plan subscriber per year. Annual coverage is set per insurance plan in MacPractice. Compare to Remaining Coverage.Anterior (adj., charting) Referring to the front of the body, specifically the mouth in dental anatomy. Usually refers to the first six teeth in a dental arch and their corresponding tissues. Compare to Posterior.ANSI (n.) Abbreviation for the American National Standards Institute. ANSI's primary goal is to enhance the global competitiveness of U.S. businesses and to improve the American quality of life by promoting and facilitating voluntary consensus standards and conformity assessment systems. ANSI does not itself develop standards or conduct tests, rather it facilitates this work by ""accrediting"" qualified groups with appropriate expertise. The Institute is the official U.S. representative to the International Organization for Standardization (ISO) and the International Electrotechnical Commission (IEC). Many forms of electronic communication must be formatted in an ANSI format, including but not limited to electronic claims.ANSI 4010 (n., EDI) A version of ANSI X12, the EDI standard used primarily in North America. Version 4010 is just one of the versions of the ANSI X12 standard that is currently used. ANSI 4010 will eventually be completely replaced by ANSI 5010.ANSI 5010 (n., EDI) A version of ANSI X12, the EDI standard used primarily in North America. Version 5010 is just one of the versions of the ANSI X12 standard. ANSI 4010 will eventually be completely replaced by ANSI 5010.Apache (n.) A web server application used with MacPractice and many other applications. Apache is required for MacPractice iPad Interface and iPhone Interface.API (n.) Abbreviation for application programming interface. A set of routines used by an application to direct the performance of procedures by the computer's operating system. The API allows programmers to use predefined functions to interact with the operating system, instead of writing them from scratch.Appeal (n., trans. v., claims) A petition to an insurance company to re-open a claim for review.",487
77,"An appeal needs to be handled directly between the payer and the office, however MacPractice can assist in tracking appeals using the Insurance Appeal Manager. See also Insurance Appeal Manager.Append (trans. v.) To add something as an attachment or supplement.Apple () Menu (n.) The menu at the upper-left corner of the screen, used to open System Preferences, set Dock preferences, select a network location, open recent documents and applications, shut down and restart the computer, and log out.Apple Remote Desktop (n.) An application that allows users to remotely control or monitor other computers over a network.AppleScript (n.) A scripting language with English-like syntax, used to write script files that can control the computer. AppleScript is part of the Mac operating system and is included on every Macintosh. Applet (n.) Can be any small application, but usually refers to a piece of code that can be embedded in a web page. AppleTalk (n., networking) A comprehensive network system developed by Apple that runs on a variety of cable systems and protocols. It facilitates communication between network devices, such as computers, file servers, and printers, which may be a mixture of Apple and non-Apple products.Application (n.) A computer program that performs a specific task, such as word processing, database management, and so on. Applications are typically programs that have a graphical user interface. The word application is used because each program has a specific application for the user. Compare to Program.Application Menu (n.) The application menu is the menu to the right of the Apple menu. It shows the application name in boldface and is used to access the application's preference settings and to quit the application, among other options.Apply, Applied (trans. v., adj., Ledger) The act of associating a payment to charges. Payments do not affect an account balance until the payment has been applied.Appointment (n., Schedule) A designated time interval during which a patient is expected to see a resource. See also Resource.Appointment Detail Window (n., Schedule) A pop-up window that gives supplemental information about an appointment. The appointment detail window is typically used to create the initial appointment, and may also be used to access the patient's advanced view. See also advanced view.A/R, AR (n., accounting) Abbreviation for Accounts Receivable.",496
78,"See Accounts Receivable.ARD (n.) Abbreviation for Apple Remote Desktop. See Apple Remote Desktop.Architecture (n.) The conceptual structure and logical organization of a computer.Archive (trans. v.) (1) To transfer data to a less frequently used storage area. Compare to Delete. (2) In Mac OS X, to either compress a file to reduce its size, or reinstall system software while keeping files and user settings intact.Arrow Keys (n.) The keys in the lower-right corner of the keyboard that can be pressed in most applications to move the cursor insertion point in the direction indicated.Assigned (trans. v., claims) To transfer legal rights or liabilities. On an insurance claim, if benefits have been assigned to the provider, the provider will receive payment for services from the insurance instead of receiving compensation from the patient.Associate (trans. v.) To connect or tie something to something else in a database.Assumed (trans. v., claims) To take or begin to have responsibility over a patient. Typically, care relinquished by one provider is assumed by a different provider. Compare to Relinquished.ASTM (n.) Abbreviation for American Society for Testing and Materials. An international standards organization that develops and publishes voluntary consensus technical standards for a wide range of materials, products, systems and services.Attach (trans. v.) Add a document or file to a database.Attached Gingiva (AG): Attached Gingiva is the amount of gingiva that is bound to the underlying tooth or bone. Attached Gingiva is noted by A=Adequate, M=Minimal, I=Inadequate with Keyboard Shortcut. It is a Surface (Arch) Notation Point.Attachment (n. Attachments, Perio) (1) A file or document that has been associated or added to a database. (2) In a Perio chart, the distance from the cemento-enamel juntion to the tip of a periodontal probe during periodontal diagnostic probing.Attachments (n.) A purchased ability in MacPractice that allows users to attach files, images and documents to patients in the MacPractice database. The Attachments ability also supports an auto-import feature.",467
79,"Compare to Images.Attachments by Filename (n.) An ability in MacPractice purchased in addition to the Attachments ability that allows users to attach multiple files or images to multiple patients at a time.Attachment Control Number (n., EDI) An identifier used for tracking attachment information with an electronic claim.Attachment Transmission Code (n., EDI) A code on an electronic claim that classifies how an attachment was transmitted.Attachment Type Code (n., EDI) A code on an electronic claim that classifies what type of an attachment was transmitted.Attorney (n., References) A person appointed to act for another person in business or legal matters. Attorney references in MacPractice DC allow chiropractors to keep track of workman's comp and accident information.Audit (n., accounting) A systematic review or assessment of financial data.Audits (n., Inventory) Audits compare physical stock of retail items to expected quantities. Audits are created within the Audits node of the Inventory ability.Audit Trail (n., Managers) An ability in MacPractice that allows users to track all ledger history information. Sometimes also referred to as the Ledger Audit Trail.Automatic (adj.) Used to describe something that works by itself with little or no direct human control. Compare to Manual.Auto-Import (trans. v., adj., Attachments, Digital Radiography/Imaging) A process by which files and images are automatically imported and attached to patients in the MacPractice Attachments or Digital Radiography/Imaging ability.Auto Levels (n., Digital Radiography/Imaging) An adjustment in Digital Radiography/Imaging that analyzes an image by its histogram and automatically adjusts the levels to maximize the dynamic range. The Cut Off slider allows you to adjust your grayscale midpoint.AutoRemind (n.) A patient appointment reminder system that integrates with MacPractice. www.autoremind.usAuto-Repeat (intrans. v.) To happen again and again. The keys on the keyboard are auto-repeat keys; if one is held down, the computer will keep generating that character automatically.Auto Reports (n.) A Manager in MacPractice that allows users to create and export multiple reports at the same time.Auto Snap (trans.",460
80,"v.) A process by which intra-oral cameras can automatically trigger a photo to be taken in the MacPractice patient photo area.Available, Availability (adj, n., Schedule) A time frame in which a resource is able to be scheduled.Avery (n.) A type of label manufactured by Avery Dennison. www.avery.comBBackground (n., EMR/EDR, Notes) (1) An aspect of multitasking capability. A program can run and perform tasks in the background while another program is being used in the foreground. (2) In EMR/EDR and the Notes ability, the background is the area behind the main composition.Backslash (n.) A backward-sloping diagonal line (), used to separate file and folder names in a path statement. Compare to Slash.Backspace Key (n.) A key on the keyboard that moves the cursor one position backwards, deletes the preceding character, and shifts back the text after it by one. The Backspace key typically appears on Microsoft keyboards and is synonymous with the Delete key on an Apple keyboard. See also Delete Key.Backup (n., adj.) A copy of one or more files created as an alternate in case the original data is lost or becomes unusable. See also .mpbak.Back IP (trans. v.) The act of creating a backup.Balance (n., accounting) A figure representing the difference between credits and debits in an account, or the current amount owed by an account.Balance Forward (n., accounting) A balance entered into an empty MacPractice account ledger as non-production. Usually done to indicate a balance has been transferred from a different practice management system.Bandwidth (n., networking) The capacity of a network connection, measured in bits or bytes per second, for carrying data. Bandwidth refers to how much data can be sent through a network or modem.Base (n., charting) The cement placed under a dental restoration to insulate a nerve chamber of the tooth.Base Station (n., networking) A device that transmits and receives data in a wireless network; also called an access point, a wireless access point, or a wireless router.",458
